number,questionId,question,type,required,section,subsection,isActive,options,placeholder,conditionalOn,_id,_creationTime
1,reachOutReason,What made you reach out to Andy'K Group right now?,long-text,true,goals-context,goals,true,,,,k576nahwcnrbyv82cwq64cev5s81dm8z,1771426538451.2476
2,successVision,What does success look like for you 12 months from now?,long-text,true,goals-context,goals,true,,,,k575apdhnnyn5hmhyhg34rx7hn81d73s,1771426538451.2478
3,biggestObstacle,What's the single biggest obstacle standing between you and that outcome?,long-text,true,goals-context,goals,true,,,,k571x1dbsephp00esk5aswbacx81cg1x,1771426538451.248
4,previousAgency,Have you worked with an external agency or automation partner before?,single-select,true,goals-context,goals,true,Yes (yes) | No (no),,,k57408mctpk84szn3vstfa9jed81d6gb,1771426538451.2483
5,previousAgencyDetails,What worked and what didn't?,long-text,false,goals-context,goals,true,,,if previousAgency = yes,k57fnf122hvvj5wta8yn2v33rs81d3rw,1771426538451.2485
6,urgencyLevel,How urgent is this for you?,single-select,true,goals-context,goals,true,"We need to move immediately (this is costing us money or time now) (immediate) | We have a clear deadline (deadline) | We're planning ahead — no hard deadline yet (planning) | Exploring options, no commitment yet (exploring)",,,k573m1ezscm44xftby26dg5b2h81dny4,1771426538451.2488
7,urgencyDeadline,What is your deadline?,text,false,goals-context,goals,true,,,if urgencyLevel = deadline,k575ywrk048xgjk5kapvtz2nv181cy1g,1771426538451.249
8,partnerConfidence,What would need to be true for you to feel confident moving forward with a partner?,long-text,true,goals-context,goals,true,,,,k570ap799gvmgxaj6edfeb4tps81csep,1771426538451.2493
9,companyName,Legal company name (as in official registration)?,text,true,company-profile,company-contacts,true,,e.g. Acme Corporation Ltd,,k579hd456pp5kn0v0t0njb8eyd81cnc6,1771426538451.2495
10,websiteUrl,Website URL?,url,false,company-profile,company-contacts,true,,https://example.com,,k57eeyqpykxw1rx8keajkwkvn181ck2x,1771426538451.2498
11,billingCurrency,Billing currency?,single-select,true,company-profile,company-contacts,true,EUR (€) (EUR) | GBP (£) (GBP) | USD ($) (USD) | Other (Other),,,k574r1p0n2j12smxh148t0z86s81cfcb,1771426538451.25
12,contactName,Primary contact for this engagement (full name)?,text,true,company-profile,company-contacts,true,,John Smith,,k5778physjft9dh157t4f5qtn581dq10,1771426538451.2502
13,contactPhone,Phone?,phone,true,company-profile,company-contacts,true,,+44 20 1234 5678,,k5779v107f2xrxv35nthf4sr0d81c2hq,1771426538451.2505
14,contactEmail,Email?,email,true,company-profile,company-contacts,true,,john@example.com,,k57810be478kwtepdq7stteqgh81dj5g,1771426538451.2507
15,isDecisionMaker,Are you the person who will make the final decision on this?,single-select,true,company-profile,company-contacts,true,Yes (yes) | No (no),,,k576qe2dzrmga7w7sjw239nz8d81dq43,1771426538451.251
16,decisionMakerDetails,Who is the decision maker? (name / role),text,false,company-profile,company-contacts,true,,,if isDecisionMaker = no,k576xhqcg105wq784rkferkbch81cgrr,1771426538451.2512
17,otherStakeholders,Who else is involved in evaluating or approving this decision?,text,false,company-profile,company-contacts,true,,,,k572gcy28qednyz2pc80pk55j581d4nv,1771426538451.2515
18,address,Registered business address?,address,true,company-profile,company-contacts,true,,,,k57abh6ctqb18anwm6w8n5d8hx81dngh,1771426538451.2517
19,dataEnrichmentConsent,I agree to data enrichment using public sources and official registers,checkbox,true,company-profile,company-contacts,true,,,,k571zac995d6g0m95f3gjnrcdx81c0bm,1771426538451.252
20,socialProfiles,LinkedIn / Social profiles?,text,false,company-profile,scale-presence,true,,https://linkedin.com/company/...,,k57fbwkbx7j55z9bwgkg899sbh81dbv8,1771426538451.2522
21,countriesOfOperation,Countries you currently operate in?,text,true,company-profile,scale-presence,true,,"UK, Germany, Netherlands...",,k573zcwaraf4gjw57mv493s06181dnv9,1771426538451.2524
22,yearsInBusiness,Years in business?,single-select,true,company-profile,scale-presence,true,< 1 year (<1) | 1–3 years (1-3) | 3–5 years (3-5) | 5–10 years (5-10) | 10+ years (10+),,,k5774mtqnxf91ph19q4j6wmfb181d4y4,1771426538451.2527
23,annualRevenue,Annual revenue range? (optional — helps us right-size the solution),single-select,false,company-profile,scale-presence,true,< €100K (<100K) | €100K–€500K (100K-500K) | €500K–€1M (500K-1M) | €1M–€5M (1M-5M) | €5M–€20M (5M-20M) | €20M+ (20M+) | Prefer not to say (undisclosed),,,k57dhr6azfkhnpba1098nc44es81cq0k,1771426538451.253
24,productsServices,What do you sell and who do you sell it to?,long-text,true,company-profile,market-position,true,,Describe your main offerings and target audience...,,k57a51q3s3szs3f1dh7zm3s77581d8ec,1771426538451.2532
25,usp,What makes you meaningfully different from your competitors?,long-text,true,company-profile,market-position,true,,What makes you stand out?,,k578z8th9f56yjkdrd0vw6p1g981cann,1771426538451.2534
26,competitors,Who are the competitors you most want to outperform? (name + website),long-text,false,company-profile,market-position,true,,"Competitor 1: example.com
Competitor 2: example2.com",,k570ke70e4c99we6d1k40k8xws81c808,1771426538451.2537
27,clientAcquisitionChannels,How do your clients currently find you or buy from you?,multi-select,true,company-profile,market-position,true,Email (email) | Cold outreach (cold-outreach) | LinkedIn (linkedin) | Referrals (referrals) | Events (events) | Inbound / content (inbound) | Other (other),,,k575xqjsc4t08eap9vb6rd63ws81cxy3,1771426538451.254
28,securityRequirements,Data security and compliance requirements?,multi-select,false,company-profile,market-position,true,Special storage (special-storage) | Encryption (encryption) | GDPR compliance (gdpr) | HIPAA compliance (hipaa) | On-premise hosting (on-premise) | None specific (none) | Other (other),,,k572jhmr176atd89ec81jy169x81d7fj,1771426538451.2542
29,privacyPolicyAgreed,I agree to the Privacy Policy,checkbox,true,company-profile,market-position,true,,,,k57bf57cf77kg9r3a42axyz2ax81csdr,1771426538451.2544
30,segments,Which service(s) are you interested in?,multi-select,true,segment-selection,segment,true,B2B — Lead Generation & Sales Development (B2B) | B2G — Public Tender & Government Contracts (B2G) | A.D.A.M. — Business Automation System Licensing (ADAM),,,k5717kwrtjgmxt76zb3tc5c6en81dkrw,1771426538451.2546
31,b2bDesiredClients,How many new clients per month would represent a win for you?,text,true,b2b,b2b-goals,true,,,,k5776qhsrcm9qbvdjdcge6a4g581djpj,1771426538451.255
32,b2bDealSize,"What's your current average deal size, and what would you like it to be?",long-text,true,b2b,b2b-goals,true,,,,k578hsthrf4ggbjr353vqcy17181dvqj,1771426538451.2551
33,b2bSalesCycle,What's your sales cycle typically look like end to end?,single-select,true,b2b,b2b-goals,true,Short (< 1 month) (short) | Medium (1–3 months) (medium) | Long (> 3 months) (long),,,k5726rpxwww6svhsq9p6117agn81dpp5,1771426538451.2554
34,b2bObjections,What are the top 3 objections you hear from prospects before they say no?,long-text,true,b2b,b2b-goals,true,,"1. 
2. 
3. ",,k575zr3m5gjx9nvbbwfqxgxbs581d6q6,1771426538451.2556
35,b2bConversionRate,What's your current lead-to-client conversion rate?,text,false,b2b,b2b-goals,true,,e.g. 5%,,k57c0p907beb1s87r5wz5nz92581cddd,1771426538451.2559
36,b2bPackage,Choose your B2B package,single-select,true,b2b,b2b-package,true,"CORE — €950/month (CORE) | ADVANCE — €1,350/month (ADVANCE) | VANGUARD — €1,750/month (VANGUARD) | PRESTIGE — from €2,400/month (PRESTIGE) | Not sure yet — help me decide (UNDECIDED)",,,k575hxmncqbhbsmm28bstm29cn81dfy4,1771426538451.256
37,b2bBudgetRange,What's your monthly budget range for lead generation?,text,false,b2b,b2b-package,true,,,,k57d9tk3v4bradpqqpyrmbkpn581cgc9,1771426538451.2563
38,b2bTargetCountries,Which countries or regions should we target?,text,true,b2b,b2b-target,true,,"e.g. DACH region, Nordics, UK...",,k570ff2enkj9wavkh08c9tmyph81dgnv,1771426538451.2566
39,b2bTargetIndustries,Which industries are your ideal clients in?,text,true,b2b,b2b-target,true,,"e.g. SaaS, Manufacturing, Healthcare...",,k57916eraxcgwf6rghnzb3j9an81cc22,1771426538451.2568
40,b2bCompanySize,What company size are you after?,multi-select,true,b2b,b2b-target,true,"1–10 employees (1-10) | 11–50 employees (11-50) | 51–200 employees (51-200) | 201–1,000 employees (201-1000) | 1,000+ employees (1000+)",,,k57bxs84smrpzc6wfpn0v0a4c981cj6p,1771426538451.257
41,b2bContactRoles,What job titles or roles do you want to reach?,multi-select,true,b2b,b2b-target,true,CEO (CEO) | CMO (CMO) | CTO (CTO) | CFO (CFO) | Procurement (Procurement) | Sales Director (Sales Director) | Marketing Director (Marketing Director) | Other (Other),,,k57a00qkkx02g7khtx8vct9bgn81cvvs,1771426538451.2573
42,b2bSeniority,What seniority level should we target?,multi-select,true,b2b,b2b-target,true,C-Level (C-Level) | VP / Director (VP/Director) | Manager (Manager) | Team Lead (Team Lead),,,k576twqw363cgvbrm73ys8czes81czmf,1771426538451.2576
43,b2bOutreachLanguages,What languages should outreach be in?,text,true,b2b,b2b-target,true,,"e.g. English, German, French",,k57d5fnra71ap83najtempess581dnb7,1771426538451.2578
